SID,SMILES,-log10(Carcinogenicity-Mouse_(TD50) [mmol/kg-bw/day])
48413595,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)(C(Cl)(Cl)Cl)O)Cl,1.0515870342213989
48413598,C1C2C3C(C1C4C2O4)C5(C(=C(C3(C5(Cl)Cl)Cl)Cl)Cl)Cl,2.621602099051862
48413611,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,3.835647144215563
48413614,C(=O)NNC=O,-0.8802417758954804
48413615,C1C2=CC=CC=C2C(=O)N3N1C(=O)C4=CC=CC=C4C3,-0.5145477526602861
48413616,C1C(O1)COC2=CC(=CC=C2)OCC3CO3,0.9625735020593764
48413620,C1CC(=O)OC2=CC=CC=C21,-0.6884198220027106
48413621,CCCC1=CC2=C(C=C1)OCO2,0.11861534322942716
48413622,C1=CC(=C(C=C1C2=CC(=C(C=C2)N)O)O)N.Cl.Cl,-0.08635983067474821
48413630,COC1=CC(=C(C=C1)OC)C=CC2=CC=C(C=C2)N,0.42481215507233894
48413633,COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)OC)N.Cl.Cl,0.632644078973981
48413659,CC1=C2C=CC3=CC=CC=C3C2=C(C4=CC=CC=C14)C,3.484126156288321
48413660,CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)C)N.Cl.Cl,1.0
48413661,CN(C)C(=O)Cl,1.30189945437661
48413665,CN(C)N,1.1811145854059901
48413666,CNNC.Cl.Cl,3.067019178076802
48413670,CC(=CCl)C,0.7825160557860937
48413678,C1CN(CCN1N=O)N=O,1.6020599913279623
48413681,CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],0.7931741239681502
48413681,CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],0.7931741239681502
48413684,C1COCCO1,-0.3654879848908996
48413692,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,0.6307841425898572
48413695,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)CS(=O)(=O)[O-].[Na+],-0.2764618041732441
48413704,CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C.C(CC(=O)O)C(=O)O,0.2692177243336108
48413705,CC(C1CCC2(C1(CCC3C2=CC(=O)C4C3(CC(C(C4)O)O)C)C)O)C(CCC(C)(C)O)O,4.113509274827518
